"Calendar year","Road user","Hospitalisations"
2011,"Bus occupant",214
2011,"Car driver",10948
2011,"Car passenger",4853
2011,"Car unknown position",889
2011,"Heavy transport driver",455
2011,"Heavy transport passenger",52
2011,"Heavy transport unknown position",55
2011,"Motorcyclist",7565
2011,"Other or unknown",610
2011,"Pedal cyclist",5391
2011,"Pedestrian",2754
2011,"Pick-up truck or van occupant",247
2012,"Bus occupant",217
2012,"Car driver",10806
2012,"Car passenger",4738
2012,"Car unknown position",895
2012,"Heavy transport driver",416
2012,"Heavy transport passenger",47
2012,"Heavy transport unknown position",48
2012,"Motorcyclist",7728
2012,"Other or unknown",563
2012,"Pedal cyclist",5621
2012,"Pedestrian",2672
2012,"Pick-up truck or van occupant",273
2013,"Bus occupant",226
2013,"Car driver",10942
2013,"Car passenger",4828
2013,"Car unknown position",818
2013,"Heavy transport driver",415
2013,"Heavy transport passenger",40
2013,"Heavy transport unknown position",29
2013,"Motorcyclist",8018
2013,"Other or unknown",536
2013,"Pedal cyclist",6262
2013,"Pedestrian",2657
2013,"Pick-up truck or van occupant",230
2014,"Bus occupant",289
2014,"Car driver",11122
2014,"Car passenger",4625
2014,"Car unknown position",728
2014,"Heavy transport driver",377
2014,"Heavy transport passenger",55
2014,"Heavy transport unknown position",48
2014,"Motorcyclist",8334
2014,"Other or unknown",508
2014,"Pedal cyclist",6636
2014,"Pedestrian",2554
2014,"Pick-up truck or van occupant",239
2015,"Bus occupant",246
2015,"Car driver",12163
2015,"Car passenger",4958
2015,"Car unknown position",812
2015,"Heavy transport driver",444
2015,"Heavy transport passenger",43
2015,"Heavy transport unknown position",23
2015,"Motorcyclist",8298
2015,"Other or unknown",503
2015,"Pedal cyclist",6716
2015,"Pedestrian",2627
2015,"Pick-up truck or van occupant",249
2016,"Bus occupant",283
2016,"Car driver",13194
2016,"Car passenger",5103
2016,"Car unknown position",808
2016,"Heavy transport driver",403
2016,"Heavy transport passenger",42
2016,"Heavy transport unknown position",39
2016,"Motorcyclist",8526
2016,"Other or unknown",620
2016,"Pedal cyclist",6904
2016,"Pedestrian",2743
2016,"Pick-up truck or van occupant",298
2017,"Bus occupant",265
2017,"Car driver",13267
2017,"Car passenger",5102
2017,"Car unknown position",777
2017,"Heavy transport driver",447
2017,"Heavy transport passenger",49
2017,"Heavy transport unknown position",32
2017,"Motorcyclist",8739
2017,"Other or unknown",600
2017,"Pedal cyclist",7076
2017,"Pedestrian",2714
2017,"Pick-up truck or van occupant",271
2018,"Bus occupant",247
2018,"Car driver",13595
2018,"Car passenger",5206
2018,"Car unknown position",864
2018,"Heavy transport driver",437
2018,"Heavy transport passenger",69
2018,"Heavy transport unknown position",47
2018,"Motorcyclist",8623
2018,"Other or unknown",603
2018,"Pedal cyclist",6959
2018,"Pedestrian",2661
2018,"Pick-up truck or van occupant",279
2019,"Bus occupant",255
2019,"Car driver",13482
2019,"Car passenger",4989
2019,"Car unknown position",797
2019,"Heavy transport driver",425
2019,"Heavy transport passenger",52
2019,"Heavy transport unknown position",47
2019,"Motorcyclist",8924
2019,"Other or unknown",620
2019,"Pedal cyclist",7302
2019,"Pedestrian",2713
2019,"Pick-up truck or van occupant",260
2020,"Bus occupant",173
2020,"Car driver",12217
2020,"Car passenger",4344
2020,"Car unknown position",731
2020,"Heavy transport driver",412
2020,"Heavy transport passenger",48
2020,"Heavy transport unknown position",40
2020,"Motorcyclist",8684
2020,"Other or unknown",582
2020,"Pedal cyclist",8332
2020,"Pedestrian",2103
2020,"Pick-up truck or van occupant",300
2021,"Bus occupant",169
2021,"Car driver",13327
2021,"Car passenger",4495
2021,"Car unknown position",717
2021,"Heavy transport driver",383
2021,"Heavy transport passenger",56
2021,"Heavy transport unknown position",36
2021,"Motorcyclist",8883
2021,"Other or unknown",601
2021,"Pedal cyclist",8163
2021,"Pedestrian",2334
2021,"Pick-up truck or van occupant",341
